&	3-m
15 Jan 2011	0.068027211
15 Feb 2011	0.102389078
15 Mar 2011	0.753166724
15 Apr 2011	0.27173913
15 May 2011	-0.033944331
15 Jun 2011	-0.338409475
15 Jul 2011	-1.415571284
15 Aug 2011	-1.546738399
15 Sep 2011	-1.213346815
15 Oct 2011	-0.742490719
15 Nov 2011	-0.30415681
15 Dec 2011	0.50985724
15 Jan 2012	0.645819171
15 Feb 2012	0.750085237
15 Mar 2012	0.713557594
15 Apr 2012	-0.135501355
15 May 2012	0.237691002
15 Jun 2012	0.101867572
15 Jul 2012	1.299145299
15 Aug 2012	1.50273224
15 Sep 2012	1.53531218
15 Oct 2012	1.054063244
15 Nov 2012	0.508474576
15 Dec 2012	-0.236726412
15 Jan 2013	-0.776764607
15 Feb 2013	-0.27072758
15 Mar 2013	-0.371120108
15 Apr 2013	0.169606513
15 May 2013	0.203252033
15 Jun 2013	0.983717775
15 Jul 2013	1.721228485
15 Aug 2013	1.682368775
15 Sep 2013	1.84811828
15 Oct 2013	1.716016151
15 Nov 2013	1.618887015
15 Dec 2013	2.711864407
15 Jan 2014	3.097345133
15 Feb 2014	3.630810994
15 Mar 2014	3.318658991
15 Apr 2014	4.470030477
15 May 2014	4.699121028
15 Jun 2014	4.433993954
15 Jul 2014	3.185136032
15 Aug 2014	3.342157512
15 Sep 2014	2.903332234
15 Oct 2014	3.704928879
15 Nov 2014	4.646531696
15 Dec 2014	5.247524752
15 Jan 2015	5.645427534
15 Feb 2015	4.944335298
15 Mar 2015	5.145853818
15 Apr 2015	4.343598055
15 May 2015	4.165321279
15 Jun 2015	4.020585397
15 Jul 2015	4.147909968
15 Aug 2015	3.842459174
15 Sep 2015	4.552741263
15 Oct 2015	4.497607656
15 Nov 2015	4.820805582
15 Dec 2015	3.480714958
15 Jan 2016	3.875
15 Feb 2016	3.83775351
15 Mar 2016	4.145885287
15 Apr 2016	4.03852128
15 May 2016	4.556726596
15 Jun 2016	4.916512059
15 Jul 2016	5.279407224
&title=UK retail sales volume	
"&subtitle=% change, latest three months on same period a year earlier"	
&source=Thomson Reuters Datastream	
&comment=Line chart	
&doublescale=0	
&accumulate=false	
